IMDB id,Title,Year,Rating,Genre,Top_cast
tt2016894,Ek Tha Tiger,2012,5.6,"Action, Adventure, Romance","['Salman Khan', 'Katrina Kaif', 'Girish Karnad', 'Roshan Seth', 'Ranvir Shorey']"
tt4934950,Talvar,2015,8.1,"Crime, Drama, Mystery","['Irrfan Khan', 'Konkona Sen Sharma', 'Neeraj Kabi', 'Sohum Shah', 'Atul Kumar']"
tt1620719,Dabangg,2010,6.2,"Action, Comedy, Crime","['Salman Khan', 'Sonakshi Sinha', 'Sonu Sood', 'Arbaaz Khan', 'Vinod Khanna']"
tt3767372,Piku,2015,7.6,"Comedy, Drama","['Deepika Padukone', 'Amitabh Bachchan', 'Irrfan Khan', 'Moushumi Chatterjee', 'Raghubir Yadav']"
tt1324059,Wake Up Sid,2009,7.6,"Comedy, Drama, Romance","['Ranbir Kapoor', 'Konkona Sen Sharma', 'Supriya Pathak', 'Anupam Kher', 'Rahul Khanna']"
tt0213890,Mohabbatein,2000,7.0,"Drama, Musical, Romance","['Amitabh Bachchan', 'Shah Rukh Khan', 'Uday Chopra', 'Jugal Hansraj', 'Jimmy Shergill']"
tt1934231,Delhi Belly,2011,7.5,"Action, Comedy, Crime","['Imran Khan', 'Vir Das', 'Kunaal Roy Kapur', 'Shenaz Treasury', 'Poorna Jagannathan']"
tt0164538,Dil Se..,1998,7.5,"Drama, Romance","['Shah Rukh Khan', 'Manisha Koirala', 'Preity G Zinta', 'Raghubir Yadav', 'Sabyasachi Chakrabarty']"
tt2213054,Kai Po Che,2013,7.8,"Drama, Sport","['Amit Sadh', 'Sushant Singh Rajput', 'Rajkummar Rao', 'Amrita Puri', 'Digvijay Deshmukh']"
tt2203308,Aashiqui 2,2013,7.0,"Drama, Music, Musical","['Aditya Roy Kapoor', 'Shraddha Kapoor', 'Shaad Randhawa', 'Salil Acharya', 'Mukesh Agrohari']"
tt5935704,Padmaavat,2018,7.0,"Drama, History, Romance","['Deepika Padukone', 'Ranveer Singh', 'Shahid Kapoor', 'Aditi Rao Hydari', 'Jim Sarbh']"
tt2140465,Tanu Weds Manu Returns,2015,7.6,"Comedy, Drama, Romance","['Kangana Ranaut', 'Madhavan', 'Jimmy Shergill', 'Deepak Dobriyal', 'Swara Bhasker']"
tt0106333,Baazigar,1993,7.6,"Crime, Drama, Musical","['Shah Rukh Khan', 'Kajol', 'Dalip Tahil', 'Rakhee Gulzar', 'Shilpa Shetty Kundra']"
tt2980794,Highway,2014,7.6,"Crime, Drama, Romance","['Alia Bhatt', 'Randeep Hooda', 'Durgesh Kumar', 'Pradeep Nagar', 'Saharsh Kumar Shukla']"
tt4434004,Udta Punjab,2016,7.7,"Action, Crime, Drama","['Shahid Kapoor', 'Alia Bhatt', 'Kareena Kapoor', 'Diljit Dosanjh', 'Satish Kaushik']"
tt0066763,Anand,1971,8.1,"Drama, Musical","['Rajesh Khanna', 'Amitabh Bachchan', 'Sumita Sanyal', 'Ramesh Deo', 'Seema Deo']"
tt2556308,Holiday,2014,7.2,"Action, Crime, Thriller","['Akshay Kumar', 'Sonakshi Sinha', 'Freddy Daruwala', 'Sumeet Raghavan', 'Zakir Hussain']"
tt0200087,Sarfarosh,1999,8.1,"Action, Crime, Drama","['Naseeruddin Shah', 'Aamir Khan', 'Sonali Bendre', 'Mukesh Rishi', 'Akash Khurana']"
tt5460276,Kaabil,2017,7.1,"Action, Crime, Drama","['Hrithik Roshan', 'Yami Gautam', 'Ronit Roy', 'Rohit Roy', 'Narendra Jha']"
tt8108202,Stree,2018,7.5,"Comedy, Horror","['Ashish Chhipa', 'Rajkummar Rao', 'Shraddha Kapoor', 'Pankaj Tripathi', 'Aparshakti Khurana']"
tt2395469,Gully Boy,2019,7.9,"Drama, Music, Romance","['Ranveer Singh', 'Alia Bhatt', 'Siddhant Chaturvedi', 'Vijay Raaz', 'Amruta Subhash']"
tt2372222,Kick,2014,6.0,"Action, Comedy, Crime","['Salman Khan', 'Jacqueline Fernandez', 'Nawazuddin Siddiqui', 'Randeep Hooda', 'Saurabh Dhingra']"
tt2372678,2 States,2014,6.9,"Comedy, Drama, Romance","['Arjun Kapoor', 'Alia Bhatt', 'Amrita Singh', 'Revathi', 'Ronit Roy']"
